<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.05.03	00:00:00	1.05070	1.05256	1.04982	1.05251	5109	0	0
2022.05.03	04:00:00	1.05248	1.05264	1.05016	1.05017	8594	0	0
2022.05.03	08:00:00	1.05017	1.05277	1.04944	1.05005	18297	0	0
2022.05.03	12:00:00	1.05004	1.05775	1.04922	1.05675	20969	0	0
2022.05.03	16:00:00	1.05675	1.05722	1.05118	1.05155	24784	0	0
2022.05.03	20:00:00	1.05156	1.05403	1.05126	1.05202	11797	0	0
2022.05.04	00:00:00	1.05186	1.05339	1.05174	1.05243	3523	0	0
2022.05.04	04:00:00	1.05244	1.05332	1.05140	1.05169	5388	0	0
2022.05.04	08:00:00	1.05165	1.05347	1.05060	1.05218	15230	0	0
2022.05.04	12:00:00	1.05221	1.05550	1.05145	1.05531	16069	0	0
2022.05.04	16:00:00	1.05531	1.05641	1.05246	1.05485	23181	0	0
2022.05.04	20:00:00	1.05488	1.06306	1.05108	1.06219	46416	0	0
2022.05.05	00:00:00	1.06196	1.06274	1.06037	1.06139	7119	0	0
2022.05.05	04:00:00	1.06140	1.06419	1.06099	1.06124	11698	0	0
2022.05.05	08:00:00	1.06124	1.06196	1.05813	1.06004	22062	0	0
2022.05.05	12:00:00	1.06004	1.06076	1.05458	1.05535	27731	0	0
2022.05.05	16:00:00	1.05535	1.05660	1.04928	1.05110	38791	0	0
2022.05.05	20:00:00	1.05110	1.05508	1.05024	1.05410	23125	0	0
2022.05.06	00:00:00	1.05413	1.05509	1.05332	1.05412	7288	0	0
2022.05.06	04:00:00	1.05412	1.05457	1.05158	1.05320	14968	0	0
2022.05.06	08:00:00	1.05321	1.05802	1.04828	1.05570	30927	0	0
2022.05.06	12:00:00	1.05570	1.05987	1.05474	1.05535	31064	0	0
2022.05.06	16:00:00	1.05535	1.05957	1.05535	1.05691	44522	0	0
2022.05.06	20:00:00	1.05690	1.05748	1.05366	1.05439	18088	0	0
2022.05.09	00:00:00	1.05387	1.05425	1.05176	1.05190	7731	0	0
2022.05.09	04:00:00	1.05190	1.05268	1.05025	1.05122	13179	0	0
2022.05.09	08:00:00	1.05120	1.05295	1.04954	1.05077	23440	0	0
